Timestamp,Estado_Posicion,Mag_X,Mag_Y,Mag_Z,Norma,Servo_Base,Servo_Muneca
20:09:22,HOME,-932.6,1.7,851.9,1263.1,90,90
20:09:27,OBSERVACION,-909.9,17.9,860.4,1252.5,90,170
20:09:31,PRE_RECOLECCION,-938.1,-49.6,883.9,1289.8,90,90
20:09:37,OBSERVACION_MANIQUI,-940.3,-39.6,886.5,1292.9,170,70
20:09:43,ENTREGA,-940.1,-46.4,883.3,1290.8,160,90
20:11:03,HOME,-799.2,-78.9,745.0,1095.4,90,90
20:11:08,OBSERVACION,-876.1,-52.3,752.1,1155.8,90,170
20:11:12,PRE_RECOLECCION,-820.0,-51.1,789.9,1139.7,90,90
20:12:08,HOME,-861.5,5.6,810.6,1182.9,90,90
20:12:13,OBSERVACION,-921.8,-15.1,795.8,1217.9,90,170
20:12:17,PRE_RECOLECCION,-904.4,-8.7,761.6,1182.4,90,90
20:12:23,OBSERVACION_MANIQUI,-907.6,-48.3,950.9,1315.4,170,70
20:12:29,ENTREGA,-926.5,-5.2,871.7,1272.1,160,90
20:13:14,HOME,-868.2,8.8,810.4,1187.7,90,90
20:13:19,OBSERVACION,-922.4,-15.9,790.6,1214.9,90,170
20:13:24,PRE_RECOLECCION,-906.7,-8.7,762.6,1184.8,90,90
20:13:29,OBSERVACION_MANIQUI,-913.5,-46.1,952.0,1320.2,170,70
20:13:35,ENTREGA,-932.6,-7.3,873.1,1277.5,160,90
