Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,2345.2563476562,414.7435913086,3766.0256347656,6430.0000000000,5838.3334960938,7902.5639648438,4253.3334960938,2272.0512695312,7688.0771484375,3427.6923828125,5158.0771484375,3737.3076171875,5476.6665039062,996.5384521484,,,0
0.0078125000,0,1024.2307128906,3901.2819824219,1649.2307128906,2138.2050781250,2554.7436523438,6203.4614257812,1554.7435302734,8103.8461914062,7704.6152343750,7560.5126953125,5471.4101562500,4299.3588867188,797.4359130859,4457.1796875000,,,0
0.0156250000,0,1267.1794433594,4204.6152343750,7581.7949218750,7484.1025390625,6448.8461914062,648.9743652344,3798.5898437500,6793.5898437500,6997.3076171875,7402.0512695312,809.4871826172,3831.6667480469,6229.7436523438,958.0769042969,,,0
0.0234375000,0,7505.5126953125,3964.6154785156,7071.6665039062,515.1281738281,5557.9487304688,1118.7178955078,374.3589782715,7096.1538085938,7491.2822265625,7108.2050781250,3581.6667480469,998.5897216797,928.3333129883,1166.7949218750,,,0
0.0313657000,0,3744.6154785156,3275.0000000000,156.0256347656,2867.5642089844,2157.4357910156,7680.8974609375,661.0256347656,1964.2307128906,6883.0771484375,3617.3076171875,3221.0256347656,7116.4101562500,3066.2819824219,923.9743652344,,,0
0.0391782000,0,205.7692260742,2404.2307128906,7454.2309570312,5864.3588867188,4221.2822265625,2528.2050781250,1965.6409912109,5693.9741210938,4172.0512695312,5137.9487304688,7001.0258789062,6781.5385742188,5234.2309570312,4037.5642089844,,,0
0.0469907000,0,8007.1796875000,4379.3588867188,2400.8974609375,6555.3847656250,7689.8715820312,5302.0512695312,7087.4360351562,7704.6152343750,2935.0000000000,4529.1025390625,164.7435760498,51.9230690002,2285.7692871094,3657.4357910156,,,0
0.0548032000,0,522.9487304688,1855.5128173828,5790.0000000000,6179.2309570312,1567.6922607422,5568.0771484375,5119.1025390625,2202.6923828125,7703.8461914062,5188.3334960938,2695.1281738281,6471.4101562500,5357.0512695312,838.3333129883,,,0
0.0624519000,0,1577.0512695312,3114.2307128906,401.6666564941,3775.0000000000,4247.3076171875,4735.6411132812,1579.1025390625,2233.8461914062,3033.4614257812,6782.4360351562,5970.6411132812,1053.0769042969,7936.2822265625,7676.0258789062,,,0
0.0702644000,0,4398.3334960938,4864.3588867188,5489.7436523438,284.6153869629,5276.1538085938,808.5897216797,5742.3076171875,6977.0512695312,3903.7180175781,2446.0256347656,7682.3076171875,5201.4101562500,2478.2050781250,1235.1281738281,,,0
0.0780769000,0,1990.6409912109,2923.8461914062,1775.5128173828,5317.4360351562,3037.4357910156,3908.2050781250,3321.5385742188,5351.2822265625,2583.8461914062,3964.7436523438,2545.2563476562,4566.5385742188,6341.9228515625,7132.4360351562,,,0
0.0858894000,0,5339.2309570312,3420.5129394531,2030.0000000000,4061.4101562500,274.8717956543,7833.9746093750,2806.0256347656,6657.3076171875,4249.6152343750,3963.5898437500,2488.2050781250,6287.9487304688,8025.5126953125,2263.3332519531,,,0
0.0937448000,0,6731.2822265625,3956.4101562500,2580.7692871094,4862.1796875000,385.3846130371,1936.6666259766,1566.1538085938,687.4359130859,5207.5639648438,5960.8974609375,1640.3846435547,3755.5129394531,1125.1281738281,3386.9230957031,,,0
0.1015573000,0,3860.1281738281,5697.3076171875,532.8204956055,3558.7180175781,4264.2309570312,1443.2050781250,4335.2563476562,2225.6411132812,3467.9487304688,2840.1281738281,8391.0253906250,7564.1025390625,841.9230957031,2181.5385742188,,,0
0.1093698000,0,2202.8205566406,1352.1794433594,684.4871826172,6428.9741210938,4858.0771484375,6989.2309570312,3190.5129394531,1997.3077392578,5254.3588867188,7302.3076171875,2012.3077392578,6319.1025390625,6941.2822265625,4680.5126953125,,,0
0.1171823000,0,3115.7692871094,5829.6152343750,7244.6152343750,7903.5898437500,71.7948608398,4783.8461914062,3712.5642089844,5007.0512695312,7730.5126953125,6508.3334960938,7230.0000000000,537.4359130859,89.2307586670,5445.8974609375,,,0
0.1252627000,0,2799.6154785156,1952.5640869141,39.9999923706,4847.4360351562,6311.6665039062,6770.2563476562,7029.8715820312,1288.8461914062,449.8717956543,3414.6154785156,7140.6411132812,1924.3590087891,7677.1796875000,4312.1796875000,,,0
0.1330752000,0,813.3333129883,3667.1794433594,5504.2309570312,8009.8715820312,6383.3334960938,476.2820434570,4425.7690429688,5310.7690429688,6559.2309570312,7907.3076171875,131.7948608398,6015.3847656250,3308.7180175781,619.6153564453,,,0
0.1408877000,0,4021.7949218750,2211.9230957031,5776.9228515625,5527.9487304688,429.4871826172,7856.2822265625,5734.4873046875,1262.1794433594,4607.9487304688,2802.1794433594,1083.5897216797,5104.6152343750,2483.9743652344,1623.3333740234,,,0
0.1487002000,0,3452.6923828125,7226.5385742188,7531.1538085938,2415.1281738281,3634.4870605469,7795.5126953125,4618.9741210938,1157.0512695312,2700.0000000000,8206.9228515625,4885.3847656250,4018.7180175781,2710.2563476562,4130.7690429688,,,0
0.1563982000,0,4558.9741210938,3970.0000000000,1339.3590087891,7112.4360351562,6556.2822265625,960.0000000000,1943.8461914062,2665.5126953125,31.2820415497,1254.6153564453,1751.1538085938,7520.2563476562,4525.1284179688,7868.4614257812,,,0
0.1642107000,0,2783.2050781250,6274.1025390625,6480.8974609375,4433.4614257812,644.7435913086,2538.3332519531,882.0512695312,5632.1796875000,4237.0512695312,3490.8974609375,7747.4360351562,2755.6411132812,8182.6923828125,1858.4615478516,,,0
0.1720232000,0,5677.1796875000,2865.6411132812,62.1794776917,731.0256347656,6367.4360351562,1588.7178955078,1805.1281738281,3582.4357910156,1048.4615478516,2331.6667480469,3903.2050781250,3727.5642089844,7599.6152343750,6040.0000000000,,,0
0.1798357000,0,865.6409912109,427.3076782227,6317.5639648438,8314.1025390625,6630.3847656250,5188.3334960938,3121.2819824219,7792.1796875000,5432.6923828125,3387.4357910156,3590.3845214844,5554.8715820312,5570.3847656250,364.4871826172,,,0
0.1876028000,0,5289.6152343750,6707.5639648438,5458.2050781250,7496.4101562500,1097.6922607422,521.9230957031,4447.9487304688,1272.8205566406,1204.7435302734,7461.6665039062,4210.6411132812,2067.1794433594,717.4359130859,5064.6152343750,,,0
0.1954153000,0,4272.4360351562,8186.9228515625,2480.2563476562,4566.9228515625,627.4359130859,773.7179565430,1079.6153564453,689.3589477539,7788.3334960938,1392.0512695312,3536.1538085938,6359.2309570312,1416.0256347656,4938.7177734375,,,0
0.2032278000,0,6013.0771484375,5179.1025390625,7708.9746093750,5038.9741210938,5223.9741210938,7838.0771484375,2133.5898437500,4466.9228515625,3882.5642089844,7378.0771484375,6141.4101562500,3910.6411132812,1408.9743652344,3683.0769042969,,,0
0.2110403000,0,5364.3588867188,3173.8461914062,5690.8974609375,5195.1284179688,4303.8461914062,756.6666870117,2236.5385742188,648.7179565430,6260.5126953125,2615.8974609375,6975.7690429688,6773.7177734375,6963.3334960938,5406.9228515625,,,0
0.2189752000,0,4241.7949218750,7413.2050781250,2262.9487304688,531.2820434570,2779.6154785156,40.3846054077,8334.8720703125,1535.2563476562,6452.8203125000,4319.1025390625,1665.2563476562,4328.0771484375,5099.3588867188,6363.0771484375,,,0
0.2267877000,0,1537.3077392578,5081.7949218750,4812.1796875000,5491.2822265625,3665.2563476562,6053.4614257812,4610.3847656250,7749.2309570312,7306.1538085938,2362.9487304688,2468.0769042969,999.4871826172,6481.6665039062,8222.0517578125,,,0
0.2346002000,0,2446.7949218750,5127.4360351562,6429.6152343750,7331.0258789062,6822.6923828125,4496.1538085938,5287.5639648438,3617.6923828125,5981.0258789062,5868.9741210938,1391.1538085938,4401.6665039062,5164.3588867188,169.4871673584,,,0
0.2424127000,0,7317.4360351562,5888.0771484375,7246.1538085938,8064.2309570312,2087.3076171875,2905.2563476562,2074.7436523438,781.1538085938,4720.2563476562,6491.5385742188,6208.5898437500,3726.4101562500,585.7692260742,7722.4360351562,,,0
0.2502119000,0,2356.9230957031,827.4359130859,6387.3076171875,5338.9741210938,5352.8203125000,1717.1794433594,3144.3588867188,8074.4873046875,3395.1281738281,5874.8715820312,1030.0000000000,8138.0771484375,7366.1538085938,5839.8715820312,,,0
0.2580244000,0,2252.5642089844,3170.0000000000,682.0512695312,7266.1538085938,2415.0000000000,590.2564086914,5071.0258789062,5309.8715820312,2433.0769042969,6857.1796875000,6011.4101562500,1541.6666259766,7342.0512695312,1724.8718261719,,,0
0.2658369000,0,2730.3845214844,160.5128173828,1249.1025390625,4290.1284179688,5294.7436523438,4644.4873046875,1856.2821044922,651.6666870117,229.2307586670,6784.2309570312,6228.7177734375,3308.9743652344,827.4359130859,7203.9741210938,,,0
0.2736494000,0,2275.1281738281,4976.0258789062,721.6666870117,1872.3077392578,5953.2050781250,443.3333129883,7271.0258789062,5555.5126953125,2285.2563476562,70.3846054077,1448.5897216797,3076.7949218750,2339.3588867188,4773.3334960938,,,0
0.2813143000,0,3158.8461914062,2624.2307128906,737.9487304688,5400.3847656250,6744.3588867188,4086.2819824219,5137.3076171875,6982.3076171875,7761.2822265625,1320.0000000000,8076.7949218750,1526.6666259766,4921.2822265625,7916.2822265625,,,0
0.2891268000,0,5313.9741210938,7522.9487304688,2234.3588867188,4242.8203125000,7550.0000000000,3544.4870605469,1315.6409912109,426.6666564941,3417.4357910156,999.2307739258,2437.3076171875,6087.4360351562,1040.1281738281,4997.1796875000,,,0
0.2969393000,0,7080.1284179688,141.7948608398,5138.9741210938,7028.4614257812,355.0000000000,1035.5128173828,5173.0771484375,543.5897216797,2298.7180175781,5541.4101562500,1325.2563476562,3022.9487304688,1228.0769042969,1632.1794433594,,,0
0.3047518000,0,6317.0512695312,5638.8461914062,4087.3076171875,6808.9741210938,1247.0512695312,6018.5898437500,5485.3847656250,7553.3334960938,6721.6665039062,1990.6409912109,4328.3334960938,7942.0512695312,6622.6923828125,6792.6923828125,,,0
0.3126292000,0,1448.0769042969,4716.5385742188,4100.1284179688,7861.1538085938,3495.1281738281,3792.1794433594,6723.5898437500,5828.0771484375,413.3333129883,7218.3334960938,5721.6665039062,2159.4870605469,3865.5129394531,1569.6153564453,,,0
0.3204417000,0,3138.9743652344,7950.0000000000,652.0512695312,2171.2819824219,1156.4102783203,4363.2050781250,7691.7949218750,7954.6152343750,5018.8461914062,6547.3076171875,7568.7177734375,4847.1796875000,580.2564086914,5059.3588867188,,,0
0.3282542000,0,1112.3077392578,6594.6152343750,391.5384521484,3391.7949218750,7029.4873046875,2413.4614257812,1133.4615478516,7359.8715820312,5439.8715820312,3546.9230957031,7290.7690429688,5023.2050781250,7697.8203125000,792.1795043945,,,0
0.3360667000,0,7735.2563476562,6413.2050781250,7125.6411132812,1892.5640869141,2549.2307128906,5058.9741210938,7997.0512695312,4453.2050781250,299.1025695801,303.4615173340,4325.0000000000,6148.3334960938,5572.3076171875,4973.8461914062,,,0
