timestamp,estimulo,codigo
1780100644.946203,ConmprimidoRojo,1
1780100645.373535,D2,16
1780100645.7996707,D1,15
1780100646.2269044,ConmprimidoVerde,2
1780100646.6538844,D3,17
1780100647.0804436,ComprimidoAzul,3
1780100647.5070622,D5,19
1780100647.9341352,D4,18
1780100648.3610046,D3,17
1780100648.787789,ConmprimidoVerde,2
1780100649.2148237,D5,19
1780100649.6416378,D4,18
1780100650.0686982,ConmprimidoRojo,1
1780100650.4950075,D1,15
1780100650.9210217,D2,16
1780100651.348187,ComprimidoAzul,3
1780100651.775485,D4,18
1780100652.2016327,D2,16
1780100652.6283746,ComprimidoAzul,3
1780100653.0554442,D3,17
1780100653.4820137,D1,15
1780100653.9089336,ConmprimidoVerde,2
1780100654.33609,D5,19
1780100654.762516,ConmprimidoRojo,1
1780100655.1889348,ComprimidoAzul,3
1780100655.6154478,D2,16
1780100656.0423846,D4,18
1780100656.4693804,ConmprimidoRojo,1
1780100656.896216,D3,17
1780100657.323319,ConmprimidoVerde,2
1780100657.749501,D1,15
1780100658.1766264,D5,19
1780100658.6043112,ConmprimidoVerde,2
1780100659.031079,D2,16
1780100659.4582722,D3,17
1780100659.8853266,D1,15
1780100660.3113923,ComprimidoAzul,3
1780100660.7378237,D5,19
1780100661.1654098,ConmprimidoRojo,1
1780100661.591874,D4,18
1780100662.0178885,D3,17
1780100662.445347,D2,16
1780100662.8721232,D4,18
1780100663.2985451,ConmprimidoRojo,1
1780100663.7256505,D1,15
1780100664.152759,ConmprimidoVerde,2
1780100664.5793295,D5,19
1780100665.0052865,ComprimidoAzul,3
1780100665.432085,ComprimidoAzul,3
1780100665.8590963,D1,15
1780100666.28589,ConmprimidoRojo,1
1780100666.712772,D2,16
1780100667.1398866,D3,17
1780100667.5669043,ConmprimidoVerde,2
1780100667.9935594,D4,18
1780100668.4204295,D5,19
1780100668.8474917,ConmprimidoRojo,1
1780100669.27424,D1,15
1780100669.70068,ConmprimidoVerde,2
1780100670.127423,D2,16
1780100670.553498,D3,17
1780100670.979755,D5,19
1780100671.4066746,ComprimidoAzul,3
1780100671.833853,D4,18
1780100672.260943,ComprimidoAzul,3
1780100672.687532,D5,19
1780100673.1148524,ConmprimidoRojo,1
1780100673.5412424,D3,17
1780100673.9683409,D1,15
1780100674.3949974,D2,16
1780100674.8211305,ConmprimidoVerde,2
1780100675.24834,D4,18
1780100675.675586,ComprimidoAzul,3
1780100676.1025379,D1,15
1780100676.5289388,D5,19
1780100676.9561827,D4,18
1780100677.3832283,ConmprimidoRojo,1
1780100677.8106694,D3,17
1780100678.2373042,D2,16
1780100678.6647663,ConmprimidoVerde,2
1780100679.0917413,D2,16
1780100679.5181353,D5,19
1780100679.9449089,D1,15
1780100680.3717732,ComprimidoAzul,3
1780100680.7983043,D4,18
1780100681.225013,ConmprimidoVerde,2
1780100681.6514552,D3,17
1780100682.0790093,ConmprimidoRojo,1
